key,length,raw_angle,x0,y0,date,time,cam_angle
20160816_1400_0/0,60,4.662336099,53.3,65.8,16-08-16,14:00:20:073,-1.520743445
20160816_1400_1/3,37,4.389446405,112.3,42,16-08-16,14:00:30:065,-4.389446405
20160816_1400_1/4,40,1.171140492,100,88.2,16-08-16,14:00:38:850,-1.171140492
20160816_1400_1/7,35,5.995063205,66.8,74.6,16-08-16,14:00:54:749,-5.995063205
20160816_1401_1/1,73,6.084290339,74,82.8,16-08-16,14:01:05:587,-6.084290339
20160816_1401_0/0,29,4.362356241,137.3,96.8,16-08-16,14:01:10:916,-1.220763588
20160816_1401_1/3,67,5.94707581,87.8,83.8,16-08-16,14:01:11:732,-5.94707581
20160816_1401_1/5,58,6.062703025,86,90.8,16-08-16,14:01:20:282,-6.062703025
20160816_1401_1/6,57,6.063177758,87,91.8,16-08-16,14:01:20:298,-6.063177758
20160816_1401_0/1,33,1.331780607,139,97,16-08-16,14:01:20:439,1.809812046
20160816_1401_0/3,74,4.334353291,138.7,94.9,16-08-16,14:01:22:874,-1.192760638
20160816_1401_0/4,24,1.337893304,137.3,96.3,16-08-16,14:01:24:215,1.80369935
20160816_1401_1/7,97,6.126863459,82.8,93.5,16-08-16,14:01:27:074,-6.126863459
20160816_1401_0/5,23,1.105296107,136.8,97.5,16-08-16,14:01:34:114,2.036296547
20160816_1401_0/6,24,4.382795217,139,94.4,16-08-16,14:01:34:336,-1.241202564
20160816_1401_1/8,23,4.503237403,109,75,16-08-16,14:01:34:972,-4.503237403
20160816_1401_0/8,51,4.112825899,139.2,95.2,16-08-16,14:01:38:962,-0.971233245
20160816_1401_0/9,50,1.116657082,138,97.5,16-08-16,14:01:39:671,2.024935572
20160816_1401_0/10,25,4.232497673,139.6,94.1,16-08-16,14:01:39:913,-1.090905019
20160816_1401_1/10,33,0.185652905,65.3,40.1,16-08-16,14:01:40:870,-0.185652905
20160816_1401_0/13,32,0.869027621,139.7,95.1,16-08-16,14:01:46:361,2.272565032
20160816_1401_0/12,33,0.94334488,139,97,16-08-16,14:01:46:361,2.198247774
20160816_1401_0/14,37,1.392536657,138.4,95.8,16-08-16,14:01:46:967,1.749055996
20160816_1401_0/16,69,1.299732613,139.2,94.8,16-08-16,14:01:47:435,1.841860041
20160816_1401_0/15,22,4.220285135,140.2,92.8,16-08-16,14:01:47:828,-1.078692481
20160816_1401_0/17,39,1.132205442,139,95.8,16-08-16,14:01:48:656,2.009387211
20160816_1401_1/11,110,5.849376966,78.1,44.1,16-08-16,14:01:49:859,-5.849376966
20160816_1401_0/18,24,3.977500834,139,96.3,16-08-16,14:01:52:584,-0.83590818
20160816_1401_1/13,84,6.132261799,68.2,43.4,16-08-16,14:01:52:615,-6.132261799
20160816_1401_1/14,23,3.107768929,69.5,48,16-08-16,14:01:55:128,-3.107768929
20160816_1401_0/19,29,0.040053144,105.8,68.8,16-08-16,14:01:55:531,3.101539509
20160816_1401_1/15,42,0.007069699,73.6,44.6,16-08-16,14:01:55:549,-0.007069699
20160816_1401_1/16,25,0.012161576,77.2,45.9,16-08-16,14:01:55:720,-0.012161576
20160816_1401_0/20,41,4.3459521,140.5,94.8,16-08-16,14:01:56:007,-1.204359447
20160816_1401_1/19,67,6.090250768,67,49,16-08-16,14:01:58:456,-6.090250768
20160816_1401_1/20,67,6.090250768,67,49,16-08-16,14:01:58:456,-6.090250768
20160816_1402_0/0,30,1.142127569,138,96.8,16-08-16,14:02:00:689,1.999465085
20160816_1402_1/0,64,5.991318817,69.5,46.8,16-08-16,14:02:01:256,-5.991318817
20160816_1402_1/1,62,5.991089674,70.2,48.2,16-08-16,14:02:01:272,-5.991089674
20160816_1402_0/1,77,4.390884717,140.8,95,16-08-16,14:02:01:599,-1.249292064
20160816_1402_1/2,76,6.01052737,68.9,49,16-08-16,14:02:03:613,-6.01052737
20160816_1402_0/3,25,3.066652859,93.5,48.3,16-08-16,14:02:06:295,0.074939795
20160816_1402_1/3,55,5.944616984,71.5,47.5,16-08-16,14:02:06:295,-5.944616984
20160816_1402_0/4,25,1.1066445,137.8,98,16-08-16,14:02:06:932,2.034948153
20160816_1402_0/5,28,3.72864979,139,96.8,16-08-16,14:02:07:870,-0.587057137
20160816_1402_1/5,47,5.765003362,70.4,53,16-08-16,14:02:08:680,-5.765003362
20160816_1402_1/6,76,6.014198258,65.7,51.4,16-08-16,14:02:10:614,-6.014198258
20160816_1402_0/6,39,3.146456892,96,53.8,16-08-16,14:02:10:879,-0.004864238
20160816_1402_0/7,26,3.677243085,139.8,97.4,16-08-16,14:02:11:472,-0.535650431
20160816_1402_1/7,46,5.816740902,81.2,42.4,16-08-16,14:02:13:677,-5.816740902
20160816_1402_1/8,47,5.776069374,72.5,51,16-08-16,14:02:13:851,-5.776069374
20160816_1402_1/10,64,5.984246068,78,48.4,16-08-16,14:02:16:585,-5.984246068
20160816_1402_1/11,30,5.494820494,82.3,55.8,16-08-16,14:02:18:341,-5.494820494
20160816_1402_1/12,27,5.488533906,80.6,54.8,16-08-16,14:02:18:372,-5.488533906
20160816_1402_1/14,70,6.08686233,79.8,57.3,16-08-16,14:02:22:005,-6.08686233
20160816_1402_1/15,56,6.084624088,83.5,55.3,16-08-16,14:02:22:187,-6.084624088
20160816_1402_1/16,39,5.796463278,84.3,50.8,16-08-16,14:02:24:789,-5.796463278
20160816_1402_1/17,50,6.13122701,82.9,54.8,16-08-16,14:02:28:401,-6.13122701
20160816_1402_1/19,53,5.845914379,81.2,48.6,16-08-16,14:02:31:346,-5.845914379
20160816_1402_1/21,45,6.14150982,77.5,51.3,16-08-16,14:02:34:036,-6.14150982
20160816_1402_1/22,44,6.140856895,77.3,49.7,16-08-16,14:02:34:051,-6.140856895
20160816_1402_1/24,55,5.986547512,76.8,51.8,16-08-16,14:02:36:269,-5.986547512
20160816_1403_1/0,85,6.113643499,81,63.6,16-08-16,14:03:05:627,-6.113643499
20160816_1403_0/0,37,3.173912498,84.3,62,16-08-16,14:03:05:791,-0.032319844
20160816_1403_1/1,25,2.88083382,92.1,70,16-08-16,14:03:09:792,-2.88083382
20160816_1403_1/3,39,2.803829886,88.4,43.6,16-08-16,14:03:18:436,-2.803829886
20160816_1403_1/4,80,5.730211971,79.2,43.8,16-08-16,14:03:21:256,-5.730211971
20160816_1403_1/6,37,5.884050991,84.1,46.5,16-08-16,14:03:23:916,-5.884050991
20160816_1403_1/7,69,5.921704811,82.5,39.3,16-08-16,14:03:25:962,-5.921704811
20160816_1403_1/8,69,2.780112157,82.5,39.3,16-08-16,14:03:25:962,-2.780112157
20160816_1403_1/10,87,5.810869912,80.1,73.4,16-08-16,14:03:32:471,-5.810869912
20160816_1403_1/11,61,6.269085645,90.8,67.5,16-08-16,14:03:37:636,-6.269085645
20160816_1403_1/12,60,0.012715605,91.6,65.9,16-08-16,14:03:37:651,-0.012715605
20160816_1403_1/13,81,6.231266078,92.8,61.2,16-08-16,14:03:39:806,-6.231266078
20160816_1403_1/14,69,0.084253085,90.3,62.5,16-08-16,14:03:42:509,-0.084253085
20160816_1403_1/15,68,0.088001718,88.4,62.4,16-08-16,14:03:42:525,-0.088001718
20160816_1403_1/16,69,5.739780785,87.8,60,16-08-16,14:03:44:877,-5.739780785
20160816_1403_1/17,45,5.978708049,85.2,63.6,16-08-16,14:03:48:273,-5.978708049
20160816_1403_1/19,90,5.771428945,93,77,16-08-16,14:03:50:044,-5.771428945
20160816_1403_1/20,32,0.089292345,83.6,65.1,16-08-16,14:03:50:729,-0.089292345
20160816_1403_1/21,40,0.064626024,83.5,38,16-08-16,14:03:51:522,-0.064626024
20160816_1403_1/22,76,5.984732963,95,74,16-08-16,14:03:52:586,-5.984732963
20160816_1403_1/23,77,5.869496841,79.5,60.3,16-08-16,14:03:52:820,-5.869496841
20160816_1403_1/24,76,0.142771029,80.5,38,16-08-16,14:03:53:909,-0.142771029
20160816_1403_1/25,64,5.885319095,96.8,72.2,16-08-16,14:03:55:060,-5.885319095
20160816_1403_1/26,75,6.115606521,80.5,64.7,16-08-16,14:03:55:917,-6.115606521
20160816_1403_1/28,63,6.020679251,90.1,70.2,16-08-16,14:03:57:939,-6.020679251
20160816_1403_1/29,53,5.919253146,81.4,63.8,16-08-16,14:03:58:550,-5.919253146
20160816_1404_1/0,31,5.908732552,94.5,63.8,16-08-16,14:04:00:877,-5.908732552
20160816_1404_1/1,22,5.98323249,81.8,66.4,16-08-16,14:04:00:974,-5.98323249
20160816_1404_1/2,80,5.853053009,82.5,60,16-08-16,14:04:03:301,-5.853053009
20160816_1404_1/3,59,5.919815483,89.5,74.3,16-08-16,14:04:03:577,-5.919815483
20160816_1404_1/4,44,6.014347633,94.3,34.5,16-08-16,14:04:04:270,-6.014347633
20160816_1404_1/7,83,5.944939477,92.5,78.5,16-08-16,14:04:06:002,-5.944939477
20160816_1404_0/1,58,0.210027594,114.3,78,16-08-16,14:04:06:065,2.93156506
20160816_1404_1/6,35,6.243004679,80.8,60.2,16-08-16,14:04:06:396,-6.243004679
20160816_1404_1/8,55,5.938515909,93.5,49.2,16-08-16,14:04:07:249,-5.938515909
20160816_1404_1/9,64,5.905591271,92,80.8,16-08-16,14:04:08:414,-5.905591271
20160816_1404_1/10,67,5.8005924,77.4,60.8,16-08-16,14:04:08:521,-5.8005924
20160816_1404_1/11,72,6.077257681,78.3,67.3,16-08-16,14:04:10:787,-6.077257681
20160816_1404_1/12,55,5.946240782,92.4,82.6,16-08-16,14:04:11:161,-5.946240782
20160816_1404_1/13,25,5.705330447,74.5,62.8,16-08-16,14:04:13:490,-5.705330447
20160816_1404_1/15,39,6.029477608,92.6,82.4,16-08-16,14:04:13:662,-6.029477608
20160816_1404_1/14,25,5.775415884,77.2,67.3,16-08-16,14:04:13:760,-5.775415884
20160816_1404_1/16,36,6.243615872,75.9,70.4,16-08-16,14:04:16:931,-6.243615872
20160816_1404_1/18,40,0.00430123,75,91.3,16-08-16,14:04:28:179,-0.00430123
20160816_1404_0/5,50,2.891310085,79.2,52,16-08-16,14:04:45:035,0.250282569
20160816_1404_0/8,52,5.926186472,137,78.5,16-08-16,14:04:52:060,-2.784593819
20160816_1404_0/9,22,6.099048716,137,78,16-08-16,14:04:56:133,-2.957456062
20160816_1405_0/0,22,3.458849231,137.3,79.5,16-08-16,14:05:01:550,-0.317256578
20160816_1405_1/3,42,3.95107544,81,87,16-08-16,14:05:08:843,-3.95107544
20160816_1405_1/7,34,5.2802328,89.6,97.3,16-08-16,14:05:18:580,-5.2802328
20160816_1405_1/8,33,5.323099115,90.7,96.3,16-08-16,14:05:18:596,-5.323099115
20160816_1405_0/3,50,3.01359588,67.8,45.8,16-08-16,14:05:20:743,0.127996774
20160816_1405_1/11,22,4.786426596,91.2,110.8,16-08-16,14:05:28:319,-4.786426596
20160816_1405_1/14,89,3.076795454,33.8,25,16-08-16,14:05:36:892,-3.076795454
20160816_1405_1/15,38,3.025812925,33,23.4,16-08-16,14:05:38:412,-3.025812925
20160816_1405_1/18,36,6.032072098,32.5,26,16-08-16,14:05:51:271,-6.032072098
20160816_1405_0/13,24,0.713265609,25,69.5,16-08-16,14:05:51:784,2.428327045
20160816_1406_0/0,27,1.453641936,16.3,99.3,16-08-16,14:06:03:300,1.687950717
20160816_1406_1/1,33,6.032692881,55.6,53.3,16-08-16,14:06:20:086,-6.032692881
20160816_1406_1/3,37,4.468280445,101.6,103.9,16-08-16,14:06:21:062,-4.468280445
20160816_1406_1/4,48,6.159463257,55.8,58.3,16-08-16,14:06:22:645,-6.159463257
20160816_1406_1/6,68,5.932330792,59.3,53.8,16-08-16,14:06:24:728,-5.932330792
20160816_1406_0/5,22,2.858128133,105.1,50.7,16-08-16,14:06:24:783,0.283464521
20160816_1406_1/7,32,5.98077229,64.5,52.4,16-08-16,14:06:27:327,-5.98077229
20160816_1406_1/8,47,5.821221867,63.5,53.9,16-08-16,14:06:29:407,-5.821221867
20160816_1406_1/9,43,6.05751324,63.7,57.1,16-08-16,14:06:32:194,-6.05751324
20160816_1406_1/10,30,5.723205681,66.3,52.3,16-08-16,14:06:34:848,-5.723205681
20160816_1406_1/11,55,6.1498756,65,51.8,16-08-16,14:06:37:154,-6.1498756
20160816_1406_1/12,35,6.134823303,66.8,49.7,16-08-16,14:06:39:383,-6.134823303
20160816_1406_1/13,27,5.927353665,69.7,53.1,16-08-16,14:06:41:736,-5.927353665
20160816_1406_1/15,33,5.95306738,72.3,56.3,16-08-16,14:06:43:997,-5.95306738
20160816_1406_1/16,56,0.626537203,43.3,36.8,16-08-16,14:06:45:774,-0.626537203
20160816_1406_1/17,53,6.103504081,71.5,54.8,16-08-16,14:06:46:313,-6.103504081
20160816_1406_1/19,51,6.01360665,69.8,57.8,16-08-16,14:06:48:886,-6.01360665
20160816_1406_1/18,23,2.99852225,83,82.8,16-08-16,14:06:49:022,-2.99852225
20160816_1406_0/7,27,3.73688177,91.4,60.6,16-08-16,14:06:49:069,-0.595289116
20160816_1406_1/21,31,5.999442275,73,57.3,16-08-16,14:06:51:391,-5.999442275
20160816_1406_1/22,26,5.978420112,74.6,56,16-08-16,14:06:51:440,-5.978420112
20160816_1406_1/23,29,5.574209302,69.2,83,16-08-16,14:06:52:733,-5.574209302
20160816_1406_1/24,45,5.99661523,75.2,59,16-08-16,14:06:53:294,-5.99661523
20160816_1406_1/25,58,6.096683292,62.5,85.5,16-08-16,14:06:55:526,-6.096683292
20160816_1406_1/26,32,6.08412061,79.9,50.3,16-08-16,14:06:55:974,-6.08412061
20160816_1406_1/27,36,5.813832326,79.8,52.5,16-08-16,14:06:58:350,-5.813832326
20160816_1406_1/28,22,5.662092554,75.6,89,16-08-16,14:06:59:017,-5.662092554
20160816_1407_1/2,49,6.019331989,43,66,16-08-16,14:07:09:597,-6.019331989
20160816_1407_1/3,47,6.034143089,44.9,67.2,16-08-16,14:07:09:612,-6.034143089
20160816_1407_1/5,43,0.039051706,42,71.2,16-08-16,14:07:12:920,-0.039051706
20160816_1407_1/6,42,0.041367297,43.5,70.3,16-08-16,14:07:12:930,-0.041367297
20160816_1407_1/8,36,5.88985581,45,78.1,16-08-16,14:07:14:846,-5.88985581
20160816_1407_1/12,49,5.97202455,61,34.3,16-08-16,14:07:25:113,-5.97202455
20160816_1407_1/19,62,0.011872472,63,64.3,16-08-16,14:07:47:621,-0.011872472
20160816_1407_1/20,77,6.13894483,89.8,91.3,16-08-16,14:07:48:669,-6.13894483
20160816_1407_1/21,76,6.135497467,90,92.8,16-08-16,14:07:48:669,-6.135497467
