key,length,raw_angle,x0,y0,date,time,cam_angle
20160816_1603_1/6,43,0.595841996,73.2,48.5,16-08-16,16:03:06:823,-0.595841996
20160816_1603_1/7,33,5.358905065,27,73.5,16-08-16,16:03:08:761,-5.358905065
20160816_1603_1/10,63,0.169014374,73,49.8,16-08-16,16:03:09:667,-0.169014374
20160816_1603_1/13,47,0.548544496,71.3,47.4,16-08-16,16:03:13:308,-0.548544496
20160816_1603_1/14,32,0.28650041,81,73.8,16-08-16,16:03:15:183,-0.28650041
20160816_1603_1/15,76,0.120113949,65.5,41,16-08-16,16:03:16:543,-0.120113949
20160816_1603_1/19,36,0.395763632,65.4,44.2,16-08-16,16:03:19:340,-0.395763632
20160816_1603_1/20,81,0.329149362,65.5,47.3,16-08-16,16:03:21:606,-0.329149362
20160816_1603_1/23,28,0.462377257,82,74.3,16-08-16,16:03:23:356,-0.462377257
20160816_1603_1/25,70,0.325040068,62.7,43.9,16-08-16,16:03:24:278,-0.325040068
20160816_1603_1/27,29,0.111170258,65,39.4,16-08-16,16:03:26:965,-0.111170258
20160816_1603_1/28,51,0.923164059,62.3,43.5,16-08-16,16:03:29:356,-0.923164059
20160816_1603_1/32,120,5.943489649,78.8,41.8,16-08-16,16:03:30:528,-5.943489649
20160816_1603_1/36,70,6.075229105,77.3,31.6,16-08-16,16:03:33:075,-6.075229105
20160816_1603_1/39,91,6.179347745,70.4,38,16-08-16,16:03:35:403,-6.179347745
20160816_1603_1/38,92,6.168985023,72.9,38,16-08-16,16:03:35:403,-6.168985023
20160816_1603_1/40,88,0.241106836,72,36.8,16-08-16,16:03:37:357,-0.241106836
20160816_1603_0/5,64,3.240259285,94.2,34.6,16-08-16,16:03:37:451,-0.098666632
20160816_1603_1/43,72,0.105995265,72.3,34.5,16-08-16,16:03:39:623,-0.105995265
20160816_1603_1/46,63,6.143626586,69.8,33.8,16-08-16,16:03:42:045,-6.143626586
20160816_1603_1/47,62,6.145238409,71.8,33.8,16-08-16,16:03:42:060,-6.145238409
20160816_1603_0/8,22,1.5435528,107.8,22.5,16-08-16,16:03:42:373,1.598039854
20160816_1603_1/50,95,0.114837682,69.6,36.2,16-08-16,16:03:44:123,-0.114837682
20160816_1603_1/55,62,0.11180633,67.2,32.4,16-08-16,16:03:46:451,-0.11180633
20160816_1603_1/56,58,0.111695633,69,32.5,16-08-16,16:03:46:498,-0.111695633
20160816_1603_1/57,55,0.101003202,70.8,31.9,16-08-16,16:03:46:529,-0.101003202
20160816_1603_0/9,24,6.023993365,136,32,16-08-16,16:03:48:092,-2.882400711
20160816_1603_1/58,77,6.282191196,66.1,36.9,16-08-16,16:03:48:701,-6.282191196
20160816_1603_1/59,92,0.104925408,62.7,32.7,16-08-16,16:03:50:655,-0.104925408
20160816_1603_1/60,92,3.246518061,62.7,32.7,16-08-16,16:03:50:655,-3.246518061
20160816_1603_1/62,62,0.252414103,65.4,46.4,16-08-16,16:03:52:358,-0.252414103
20160816_1603_1/63,51,6.21158878,72.6,88.8,16-08-16,16:03:52:530,-6.21158878
20160816_1603_1/65,69,0.429299766,66.2,46.3,16-08-16,16:03:55:046,-0.429299766
20160816_1603_1/66,41,6.004743541,60.6,49.4,16-08-16,16:03:57:171,-6.004743541
20160816_1604_1/1,52,3.860219069,54,65,16-08-16,16:04:04:281,-3.860219069
20160816_1604_1/3,55,0.317702206,73.5,59,16-08-16,16:04:05:828,-0.317702206
20160816_1604_1/2,34,3.712860342,58,32.2,16-08-16,16:04:05:890,-3.712860342
20160816_1604_1/4,29,2.105653351,63.6,106.8,16-08-16,16:04:10:875,-2.105653351
20160816_1604_1/5,24,2.080665113,60.8,107.5,16-08-16,16:04:10:922,-2.080665113
20160816_1604_1/9,43,6.101122921,64.3,102,16-08-16,16:04:12:719,-6.101122921
20160816_1604_1/11,25,5.729745316,63.5,98.2,16-08-16,16:04:14:859,-5.729745316
20160816_1604_1/12,65,6.188132913,73.2,31.2,16-08-16,16:04:16:188,-6.188132913
20160816_1604_1/15,83,0.476271662,75.3,32.8,16-08-16,16:04:19:875,-0.476271662
20160816_1604_1/14,23,0.507294775,55,80.7,16-08-16,16:04:20:360,-0.507294775
20160816_1604_1/18,46,6.12123363,74.2,29.8,16-08-16,16:04:22:532,-6.12123363
20160816_1604_1/22,49,3.514577565,93.2,72.4,16-08-16,16:04:24:626,-3.514577565
20160816_1604_1/23,47,3.513345242,92,71,16-08-16,16:04:24:641,-3.513345242
20160816_1604_1/24,31,0.071318624,73.2,30.8,16-08-16,16:04:24:938,-0.071318624
20160816_1604_1/26,79,6.194833307,85,69.7,16-08-16,16:04:26:892,-6.194833307
20160816_1604_1/25,79,6.194833307,85,69.7,16-08-16,16:04:26:892,-6.194833307
20160816_1604_1/27,25,0.126684049,71.8,27.4,16-08-16,16:04:27:532,-0.126684049
20160816_1604_1/28,52,0.175234383,74.6,33.4,16-08-16,16:04:30:220,-0.175234383
20160816_1604_1/29,44,0.179233411,76.7,33,16-08-16,16:04:30:298,-0.179233411
20160816_1604_1/30,46,0.316363864,73.8,34,16-08-16,16:04:32:533,-0.316363864
20160816_1604_1/31,44,0.316479933,74.8,31.8,16-08-16,16:04:32:548,-0.316479933
20160816_1604_1/34,46,0.408143618,79,35.8,16-08-16,16:04:34:720,-0.408143618
20160816_1604_1/33,25,0.618428521,80.5,72.5,16-08-16,16:04:34:798,-0.618428521
20160816_1604_1/35,71,0.359047919,74.4,30.1,16-08-16,16:04:36:736,-0.359047919
20160816_1604_1/37,91,2.731849071,31,73,16-08-16,16:04:37:924,-2.731849071
20160816_1604_1/39,71,0.047343166,75.2,30.9,16-08-16,16:04:39:205,-0.047343166
20160816_1604_1/38,72,0.046326564,76.5,31.5,16-08-16,16:04:39:205,-0.046326564
20160816_1604_1/40,22,4.131284333,95.6,68.9,16-08-16,16:04:40:736,-4.131284333
