key,length,raw_angle,x0,y0,date,time,cam_angle
20160816_1500_1/1,29,0.193185549,81.2,79.3,16-08-16,15:00:06:037,-0.193185549
20160816_1500_1/3,29,2.821786195,90.5,85.8,16-08-16,15:00:07:349,-2.821786195
20160816_1500_1/5,80,6.016137608,82.2,71.2,16-08-16,15:00:08:130,-6.016137608
20160816_1500_1/4,61,6.226014306,34.3,21.2,16-08-16,15:00:08:318,-6.226014306
20160816_1500_0/1,59,3.478672855,126.7,16.9,16-08-16,15:00:08:365,-0.337080201
20160816_1500_1/6,41,2.982678732,90.8,90,16-08-16,15:00:09:459,-2.982678732
20160816_1500_1/7,58,0.687077581,82.5,74.2,16-08-16,15:00:10:584,-0.687077581
20160816_1500_1/8,31,3.619053564,99.3,89.5,16-08-16,15:00:12:600,-3.619053564
20160816_1500_1/9,48,5.876415705,80.1,69.5,16-08-16,15:00:12:850,-5.876415705
20160816_1500_1/10,69,0.077448932,78.5,74.3,16-08-16,15:00:15:631,-0.077448932
20160816_1500_1/13,36,0.238133424,43.4,34.4,16-08-16,15:00:17:522,-0.238133424
20160816_1500_1/15,26,2.843323497,93.8,85.8,16-08-16,15:00:18:178,-2.843323497
20160816_1500_1/20,56,0.267155149,41.8,31.8,16-08-16,15:00:19:975,-0.267155149
20160816_1500_1/21,26,0.133471742,82.8,77.6,16-08-16,15:00:22:194,-0.133471742
20160816_1500_1/22,74,6.25951051,87.2,79.4,16-08-16,15:00:22:788,-6.25951051
20160816_1500_1/23,46,1.836537909,85.5,93,16-08-16,15:00:24:288,-1.836537909
20160816_1500_1/24,79,0.084684541,87,75.4,16-08-16,15:00:25:741,-0.084684541
20160816_1500_1/25,48,3.369659882,91,79.4,16-08-16,15:00:26:038,-3.369659882
20160816_1500_1/26,22,2.18545997,91.1,81.6,16-08-16,15:00:27:257,-2.18545997
20160816_1500_1/27,27,3.03111594,91.5,76.3,16-08-16,15:00:28:788,-3.03111594
20160816_1500_1/28,41,3.189307968,80.5,65.5,16-08-16,15:00:28:913,-3.189307968
20160816_1500_1/29,29,3.878859768,93,76,16-08-16,15:00:30:210,-3.878859768
20160816_1500_1/30,25,2.78069896,95.2,74.2,16-08-16,15:00:31:429,-2.78069896
20160816_1500_1/31,23,3.445656993,97.2,74.8,16-08-16,15:00:32:914,-3.445656993
20160816_1500_1/32,27,3.448659493,97.2,74.8,16-08-16,15:00:32:914,-3.448659493
20160816_1500_1/33,24,0.381512687,93.8,77,16-08-16,15:00:35:398,-0.381512687
20160816_1500_1/36,31,3.812012441,95,76.2,16-08-16,15:00:38:258,-3.812012441
20160816_1500_1/37,36,2.703002417,94.4,78,16-08-16,15:00:39:773,-2.703002417
20160816_1500_1/38,33,2.907595746,90.7,87.4,16-08-16,15:00:42:320,-2.907595746
20160816_1500_1/40,36,3.611816063,91.8,88.8,16-08-16,15:00:43:992,-3.611816063
20160816_1500_1/41,40,0.590603893,62.6,109.8,16-08-16,15:00:45:383,-0.590603893
20160816_1500_1/42,36,3.315603046,90.2,70.4,16-08-16,15:00:47:305,-3.315603046
20160816_1500_1/43,57,2.73047934,88,70.8,16-08-16,15:00:49:712,-2.73047934
20160816_1500_1/45,44,3.005990746,86.8,66.2,16-08-16,15:00:52:962,-3.005990746
20160816_1500_1/47,23,0.678928357,91.3,70,16-08-16,15:00:54:540,-0.678928357
20160816_1500_1/46,23,3.820521011,91.3,70,16-08-16,15:00:54:540,-3.820521011
20160816_1500_1/49,73,6.098958356,42.8,24.5,16-08-16,15:00:55:696,-6.098958356
20160816_1500_1/48,26,3.400489544,92,66.5,16-08-16,15:00:55:853,-3.400489544
20160816_1500_0/7,43,3.361780778,115.8,24.5,16-08-16,15:00:56:025,-0.220188124
20160816_1501_1/2,29,6.036939646,55,27.3,16-08-16,15:01:02:400,-6.036939646
20160816_1501_1/4,39,2.587610379,83.8,81.8,16-08-16,15:01:05:119,-2.587610379
20160816_1501_1/5,34,2.563845365,82.8,83,16-08-16,15:01:05:181,-2.563845365
20160816_1501_1/6,28,0.226776915,83,76.4,16-08-16,15:01:06:072,-0.226776915
20160816_1501_1/7,54,3.465946168,93.8,81,16-08-16,15:01:06:853,-3.465946168
20160816_1501_1/9,40,2.838217059,86.5,80.3,16-08-16,15:01:08:166,-2.838217059
20160816_1501_1/10,37,3.593968432,89.6,89.4,16-08-16,15:01:09:604,-3.593968432
20160816_1501_1/11,42,3.289752995,89.4,81.8,16-08-16,15:01:11:276,-3.289752995
20160816_1501_1/12,37,4.044530469,89.8,76,16-08-16,15:01:12:776,-4.044530469
20160816_1501_1/13,62,0.496574095,65.2,84.4,16-08-16,15:01:13:370,-0.496574095
20160816_1501_1/15,75,0.024078189,63.6,84,16-08-16,15:01:15:573,-0.024078189
20160816_1501_1/14,31,3.109543489,92.8,81.5,16-08-16,15:01:15:651,-3.109543489
20160816_1501_1/16,37,2.877929798,54.8,93.5,16-08-16,15:01:16:354,-2.877929798
20160816_1501_1/18,62,6.108213908,66,78.2,16-08-16,15:01:17:948,-6.108213908
20160816_1501_1/19,35,3.794361957,95,74.5,16-08-16,15:01:18:995,-3.794361957
20160816_1501_1/21,55,0.159505096,70,78.5,16-08-16,15:01:20:120,-0.159505096
20160816_1501_1/20,30,2.952480786,94.8,71.8,16-08-16,15:01:20:214,-2.952480786
20160816_1501_1/22,66,0.037705238,69.8,72,16-08-16,15:01:22:370,-0.037705238
20160816_1501_1/24,30,2.285587363,74.5,73,16-08-16,15:01:24:777,-2.285587363
20160816_1501_1/26,62,0.185731835,69.3,69.4,16-08-16,15:01:26:683,-0.185731835
20160816_1501_1/27,22,3.48573632,70.4,72.7,16-08-16,15:01:28:949,-3.48573632
20160816_1501_1/29,64,0.613011424,67.8,68.3,16-08-16,15:01:30:605,-0.613011424
20160816_1501_1/31,84,0.13601675,68.7,64,16-08-16,15:01:35:371,-0.13601675
20160816_1501_1/32,81,6.070664639,66.5,66.2,16-08-16,15:01:37:684,-6.070664639
20160816_1501_1/33,57,0.215969043,72,76.5,16-08-16,15:01:40:231,-0.215969043
20160816_1501_1/34,33,1.032429122,67.8,84,16-08-16,15:01:43:309,-1.032429122
20160816_1501_1/35,69,3.072179845,64.8,73.3,16-08-16,15:01:44:075,-3.072179845
20160816_1501_1/37,55,0.094634377,79.5,67.5,16-08-16,15:01:45:247,-0.094634377
20160816_1501_1/39,22,3.000384612,85.2,106.2,16-08-16,15:01:49:966,-3.000384612
