key,length,raw_angle,x0,y0,date,time,cam_angle
20160816_1100_1/0,43,5.34379593,98.8,109.6,16-08-16,11:00:07:195,-5.34379593
20160816_1100_0/1,24,0.343352489,116.5,13.3,16-08-16,11:00:12:010,2.798240165
20160816_1102_1/4,65,0.024843415,71.3,63.3,16-08-16,11:02:17:842,-0.024843415
20160816_1102_0/0,39,3.664528924,91,59.3,16-08-16,11:02:18:094,-0.522936271
20160816_1102_1/5,50,6.274863975,72.7,65.5,16-08-16,11:02:20:949,-6.274863975
20160816_1102_0/1,38,0.672280179,58.8,56.8,16-08-16,11:02:36:584,2.469312475
20160816_1103_1/0,72,0.115400188,69.8,70.3,16-08-16,11:03:22:930,-0.115400188
20160816_1103_0/6,35,5.103251866,42.2,73,16-08-16,11:03:25:035,-1.961659213
20160816_1103_1/1,61,0.495435565,67.8,67.4,16-08-16,11:03:28:212,-0.495435565
20160816_1103_1/2,67,0.615767889,71.5,76.8,16-08-16,11:03:33:481,-0.615767889
20160816_1103_0/9,42,0.486022629,28,68.3,16-08-16,11:03:34:809,2.655570024
20160816_1103_1/3,45,0.76826221,78.6,72.2,16-08-16,11:03:39:372,-0.76826221
20160816_1103_1/4,41,0.287984744,78.4,75.2,16-08-16,11:03:47:576,-0.287984744
20160816_1103_1/5,40,0.270325333,77.4,76.2,16-08-16,11:03:47:591,-0.270325333
20160816_1103_1/6,35,0.150012324,75.2,73.4,16-08-16,11:03:50:638,-0.150012324
20160816_1103_1/7,42,0.196285568,75.2,74.3,16-08-16,11:03:53:279,-0.196285568
20160816_1104_0/1,57,2.094867359,64,86.5,16-08-16,11:04:06:405,1.046725295
20160816_1104_1/2,28,3.573280634,29.8,24.5,16-08-16,11:04:31:663,-3.573280634
20160816_1104_1/4,29,3.415680568,29,24,16-08-16,11:04:35:098,-3.415680568
20160816_1104_1/5,62,2.915477339,31.3,26.8,16-08-16,11:04:35:899,-2.915477339
20160816_1104_1/6,190,6.268542696,28.6,25.6,16-08-16,11:04:36:779,-6.268542696
20160816_1104_1/7,158,2.938936651,30,25.4,16-08-16,11:04:39:000,-2.938936651
20160816_1104_1/8,123,2.999487516,29,25,16-08-16,11:04:41:563,-2.999487516
20160816_1104_1/9,26,3.057391873,69.7,102.2,16-08-16,11:04:45:017,-3.057391873
20160816_1105_1/0,37,0.17176326,24.5,50,16-08-16,11:05:23:714,-0.17176326
20160816_1105_0/0,106,0.365998649,102.5,76.5,16-08-16,11:05:29:754,2.775594005
20160816_1105_1/1,30,3.332013528,26.3,48.8,16-08-16,11:05:33:503,-3.332013528
20160816_1106_1/0,97,4.307621071,77,103.6,16-08-16,11:06:09:276,-4.307621071
20160816_1106_1/1,96,4.33588033,78,104.7,16-08-16,11:06:09:292,-4.33588033
20160816_1106_1/2,65,4.277035144,76.9,108.3,16-08-16,11:06:09:595,-4.277035144
20160816_1106_1/3,27,2.573527619,70.3,116.5,16-08-16,11:06:12:580,-2.573527619
20160816_1106_1/4,96,4.806792098,64.3,112.9,16-08-16,11:06:17:627,-4.806792098
20160816_1106_1/5,34,4.752438039,65.8,114.2,16-08-16,11:06:18:237,-4.752438039
