key,length,raw_angle,x0,y0,date,time,cam_angle
20160816_1300_1/2,64,0.337525445,115,114,16-08-16,13:00:10:101,-0.337525445
20160816_1300_1/3,48,0.960091679,117.7,103,16-08-16,13:00:14:518,-0.960091679
20160816_1300_1/5,61,2.0618556,92,55.5,16-08-16,13:00:21:897,-2.0618556
20160816_1300_1/6,45,3.464554008,92,55.8,16-08-16,13:00:23:496,-3.464554008
20160816_1300_1/7,41,3.501405944,92.5,59,16-08-16,13:00:23:534,-3.501405944
20160816_1300_1/8,33,1.80617604,92.2,58.8,16-08-16,13:00:24:802,-1.80617604
20160816_1300_1/9,32,1.793945408,91.5,57.2,16-08-16,13:00:24:818,-1.793945408
20160816_1300_1/10,30,3.161105168,97,62.8,16-08-16,13:00:26:330,-3.161105168
20160816_1300_1/11,42,2.254516927,96,67,16-08-16,13:00:27:441,-2.254516927
20160816_1300_1/12,37,2.525772113,96.2,66.5,16-08-16,13:00:29:242,-2.525772113
20160816_1300_1/15,41,3.129959127,96.5,69,16-08-16,13:00:31:118,-3.129959127
20160816_1300_1/16,38,3.098742601,94.2,67.9,16-08-16,13:00:31:144,-3.098742601
20160816_1300_0/0,22,0.845396145,136.2,7.2,16-08-16,13:00:31:692,2.296196509
20160816_1300_1/17,33,2.770621133,97.6,65.8,16-08-16,13:00:34:159,-2.770621133
20160816_1300_1/19,29,1.777087764,98,71.7,16-08-16,13:00:35:659,-1.777087764
20160816_1300_1/21,32,3.214166928,99.1,79,16-08-16,13:00:36:811,-3.214166928
20160816_1300_1/22,32,2.200260971,98,75.8,16-08-16,13:00:38:048,-2.200260971
20160816_1300_1/24,23,3.052011745,94.8,79.8,16-08-16,13:00:39:568,-3.052011745
20160816_1300_1/27,38,2.164168105,100,74.4,16-08-16,13:00:49:096,-2.164168105
20160816_1300_1/29,52,2.202765675,98,68.5,16-08-16,13:00:54:866,-2.202765675
20160816_1300_1/30,29,3.501092082,93.8,64.2,16-08-16,13:00:56:510,-3.501092082
20160816_1301_1/0,50,2.755614668,90,89.3,16-08-16,13:01:17:315,-2.755614668
20160816_1301_1/1,48,2.048890983,89,88.7,16-08-16,13:01:18:969,-2.048890983
20160816_1301_1/2,25,3.221873613,89.5,86.5,16-08-16,13:01:20:349,-3.221873613
20160816_1301_1/3,46,2.216384571,87,81.5,16-08-16,13:01:21:696,-2.216384571
20160816_1302_1/2,42,2.684495873,132.4,100.2,16-08-16,13:02:23:397,-2.684495873
20160816_1302_1/4,25,6.208527851,101.3,35.8,16-08-16,13:02:41:769,-6.208527851
20160816_1302_1/6,24,5.030051375,90.1,110.3,16-08-16,13:02:50:260,-5.030051375
20160816_1303_0/0,58,3.136145896,79,111.5,16-08-16,13:03:08:283,0.005446757
20160816_1303_1/3,77,5.617503845,80.3,114.3,16-08-16,13:03:19:827,-5.617503845
20160816_1303_1/5,23,4.197146496,101.3,68.8,16-08-16,13:03:21:974,-4.197146496
20160816_1303_1/4,23,1.055553842,101.3,68.8,16-08-16,13:03:21:974,-1.055553842
20160816_1304_1/0,22,5.386901874,75.2,101.4,16-08-16,13:04:06:206,-5.386901874
20160816_1304_1/2,22,4.706354921,69.5,97,16-08-16,13:04:30:292,-4.706354921
20160816_1304_1/3,33,5.270097481,75.7,94.8,16-08-16,13:04:31:871,-5.270097481
20160816_1304_1/4,25,4.462752782,110,86.7,16-08-16,13:04:42:724,-4.462752782
20160816_1304_1/6,26,3.02431201,30,17.8,16-08-16,13:04:49:486,-3.02431201
20160816_1304_1/5,26,3.02431201,30,17.8,16-08-16,13:04:49:486,-3.02431201
20160816_1305_0/3,105,3.125717429,55,78,16-08-16,13:05:27:966,0.015875224
20160816_1305_0/4,29,2.893717325,96.3,65.5,16-08-16,13:05:29:981,0.247875329
20160816_1307_0/1,26,5.907287001,61.8,44,16-08-16,13:07:01:144,-2.765694347
20160816_1307_1/7,71,2.02361185,111.2,64,16-08-16,13:07:31:989,-2.02361185
20160816_1307_1/16,30,4.917327506,88.3,110,16-08-16,13:07:53:567,-4.917327506
20160816_1307_1/17,28,0.077565893,90,108.5,16-08-16,13:07:55:759,-0.077565893
20160816_1307_1/18,25,2.230572766,88.8,104.5,16-08-16,13:07:57:332,-2.230572766
20160816_1308_1/2,27,5.796360635,88.5,67.4,16-08-16,13:08:26:213,-5.796360635
20160816_1308_1/3,27,5.326170533,85.5,75,16-08-16,13:08:28:122,-5.326170533
20160816_1308_1/4,30,5.722792313,82.5,75.5,16-08-16,13:08:47:742,-5.722792313
20160816_1308_1/5,29,4.726399982,85.6,75.2,16-08-16,13:08:49:186,-4.726399982
20160816_1308_1/6,23,5.11393531,85.6,72,16-08-16,13:08:50:722,-5.11393531
20160816_1308_1/7,22,5.134327785,87,71.4,16-08-16,13:08:50:722,-5.134327785
20160816_1308_1/8,23,2.417665289,87.7,80.5,16-08-16,13:08:53:913,-2.417665289
20160816_1309_1/0,23,4.636582063,80.8,94.8,16-08-16,13:09:03:316,-4.636582063
20160816_1309_1/1,22,6.053850014,78.1,111.6,16-08-16,13:09:09:016,-6.053850014
20160816_1309_1/2,23,5.384488615,71.8,102.5,16-08-16,13:09:14:849,-5.384488615
20160816_1309_1/3,31,4.837288662,74.8,103.8,16-08-16,13:09:17:532,-4.837288662
20160816_1309_1/4,23,4.637667555,80.7,105.3,16-08-16,13:09:19:123,-4.637667555
20160816_1309_1/6,27,4.947637965,89.8,40.8,16-08-16,13:09:34:348,-4.947637965
20160816_1309_1/8,27,0.213781951,76.8,40.2,16-08-16,13:09:37:380,-0.213781951
20160816_1309_1/9,22,0.191373116,79.8,41.7,16-08-16,13:09:37:430,-0.191373116
20160816_1309_1/10,27,4.452436049,85.2,46.6,16-08-16,13:09:39:351,-4.452436049
20160816_1309_0/0,23,2.109026765,53.3,56.7,16-08-16,13:09:42:510,1.032565889
20160816_1309_1/11,23,4.714301769,77.5,43.3,16-08-16,13:09:44:449,-4.714301769
20160816_1309_1/12,31,4.592450774,83.2,43.2,16-08-16,13:09:50:215,-4.592450774
20160816_1309_1/13,41,2.833485424,48.3,116.4,16-08-16,13:09:50:614,-2.833485424
20160816_1309_1/16,49,2.446815945,50.8,112.3,16-08-16,13:09:53:916,-2.446815945
20160816_1309_1/17,73,5.556055074,49,102.5,16-08-16,13:09:56:592,-5.556055074
20160816_1309_1/18,28,3.972592673,53.2,95.2,16-08-16,13:09:58:501,-3.972592673
20160816_1310_1/0,111,2.384517376,51,102,16-08-16,13:10:00:609,-2.384517376
20160816_1310_1/2,28,4.171063613,80.4,43.4,16-08-16,13:10:02:535,-4.171063613
