 clusterID,  [WRuns  keys] 
1,20160816_1523_0/25,20160816_1523_0/32
10,20160816_1525_0/3
100,20160816_1442_0/2
101,20160816_1443_0/0
102,20160816_1445_0/1
103,20160816_1444_0/11,20160816_1444_0/8
104,20160816_1444_0/0,20160816_1443_0/10,20160816_1444_0/1
105,20160816_1444_0/4,20160816_1444_0/6
106,20160816_1443_0/6
107,20160816_1443_0/1
108,20160816_1459_0/6,20160816_1500_0/1
109,20160816_1500_0/7
11,20160816_1525_0/2
110,20160816_1457_0/4
111,20160816_1458_0/7
112,20160816_1456_0/0
113,20160816_1456_0/14
114,20160816_1456_0/5
115,20160816_1457_0/14
116,20160816_1456_0/1
117,20160816_1453_0/17
118,20160816_1450_0/5
119,20160816_1449_0/11
12,20160816_1524_0/27,20160816_1524_0/26
120,20160816_1449_0/6
121,20160816_1452_0/9,20160816_1453_0/0
122,20160816_1453_0/8
123,20160816_1454_0/12,20160816_1454_0/10
124,20160816_1453_0/9,20160816_1453_0/10
125,20160816_1454_0/4
126,20160816_1454_0/11
127,20160816_1452_0/1
128,20160816_1647_0/1,20160816_1647_0/2,20160816_1648_0/1,20160816_1648_0/3,20160816_1647_0/4,20160816_1648_0/0,20160816_1647_0/3,20160816_1648_0/2
129,20160816_1652_0/0,20160816_1652_0/3,20160816_1652_0/4,20160816_1652_0/1,20160816_1652_0/2
13,20160816_1524_0/11
130,20160816_1651_0/0
131,20160816_1655_0/2,20160816_1655_0/1
132,20160816_1656_0/2
133,20160816_1653_0/1
134,20160816_1656_0/0
135,20160816_1644_0/0,20160816_1644_0/1
136,20160816_1643_0/0
137,20160816_1640_0/0,20160816_1640_0/3
138,20160816_1640_0/8,20160816_1640_0/1,20160816_1640_0/7,20160816_1641_0/0,20160816_1640_0/4,20160816_1640_0/6
139,20160816_1639_0/0
14,20160816_1525_0/0
140,20160816_1641_0/2
141,20160816_1637_0/0
142,20160816_1638_0/0
143,20160816_1642_0/0
144,20160816_1636_0/1,20160816_1635_0/5
145,20160816_1634_0/1,20160816_1634_0/2
146,20160816_1634_0/5,20160816_1634_0/4,20160816_1634_0/9
147,20160816_1636_0/2
148,20160816_1634_0/0
149,20160816_1635_0/2
15,20160816_1523_0/22
150,20160816_1557_0/11,20160816_1557_0/18,20160816_1557_0/13,20160816_1557_0/10
151,20160816_1557_0/24,20160816_1558_0/7,20160816_1557_0/23
152,20160816_1559_0/9,20160816_1559_0/12
153,20160816_1558_0/14
154,20160816_1558_0/3
155,20160816_1557_0/4
156,20160816_1602_0/0
157,20160816_1602_0/2
158,20160816_1601_0/3
159,20160816_1603_0/5
16,20160816_1532_0/14,20160816_1532_0/15
160,20160816_1603_0/8
161,20160816_1605_0/17
162,20160816_1603_0/9
163,20160816_1556_0/24,20160816_1556_0/23
